# packages in environment at C:\ProgramData\Anaconda3\envs\financial:
#
# Name                    Version                   Build  Channel
libffi                    3.4.2                h8ffe710_5    conda-forge
libglib                   2.82.1               h7025463_0    conda-forge
libgoogle-cloud           2.29.0               h5e7cea3_0    conda-forge
libgoogle-cloud-storage   2.29.0               he5eb982_0    conda-forge
libgrpc                   1.62.2               h5273850_0    conda-forge
libhwloc                  2.11.1          default_h8125262_1000    conda-forge
libiconv                  1.17                 hcfcfb64_2    conda-forge
libintl                   0.22.5               h5728263_3    conda-forge
libintl-devel             0.22.5               h5728263_3    conda-forge
libjpeg-turbo             3.0.0                hcfcfb64_1    conda-forge
liblapack                 3.9.0              24_win64_mkl    conda-forge
libmamba                  1.5.10               hdee400e_0    conda-forge
libmambapy                1.5.10          py311hd260362_0    conda-forge
libparquet                17.0.0          ha915800_16_cpu    conda-forge
libpng                    1.6.44               h3ca93ac_0    conda-forge
libprotobuf               4.25.3               h503648d_0    conda-forge
libre2-11                 2023.09.01           hf8d8778_2    conda-forge
libsodium                 1.0.20               hc70643c_0    conda-forge
libsolv                   0.7.30               hbb528cf_0    conda-forge
libsqlite                 3.46.1               h2466b09_0    conda-forge
libssh2                   1.11.0               h7dfc565_0    conda-forge
libthrift                 0.20.0               hbe90ef8_1    conda-forge
libtiff                   4.7.0                hb151862_0    conda-forge
libutf8proc               2.8.0                h82a8f57_0    conda-forge
libwebp-base              1.4.0                hcfcfb64_0    conda-forge
libxcb                    1.16                 h013a479_1    conda-forge
libxml2                   2.12.7               h0f24e4e_4    conda-forge
libzlib                   1.3.1                h2466b09_1    conda-forge
lxml                      5.3.0                    pypi_0    pypi
lz4-c                     1.9.4                hcfcfb64_0    conda-forge
lzo                       2.10              hcfcfb64_1001    conda-forge
m2w64-gcc-libgfortran     5.3.0                         6    conda-forge
m2w64-gcc-libs            5.3.0                         7    conda-forge
m2w64-gcc-libs-core       5.3.0                         7    conda-forge
m2w64-gmp                 6.1.0                         2    conda-forge
m2w64-libwinpthread-git   5.0.0.4634.697f757               2    conda-forge
mako                      1.3.5                    pypi_0    pypi
markdown-it-py            3.0.0              pyhd8ed1ab_0    conda-forge
markdown2                 2.5.0              pyhd8ed1ab_0    conda-forge
markupsafe                2.1.5           py311he736701_1    conda-forge
marshmallow               3.22.0                   pypi_0    pypi
matplotlib-inline         0.1.7              pyhd8ed1ab_0    conda-forge
mdurl                     0.1.2              pyhd8ed1ab_0    conda-forge
mem0ai                    0.0.20                   pypi_0    pypi
menuinst                  2.1.2           py311hda3d55a_1    conda-forge
mistune                   3.0.2                    pypi_0    pypi
mkl                       2021.4.0                 pypi_0    pypi
mmh3                      5.0.1                    pypi_0    pypi
monotonic                 1.6                      pypi_0    pypi
mpmath                    1.3.0                    pypi_0    pypi
msys2-conda-epoch         20160418                      1    conda-forge
multidict                 6.1.0                    pypi_0    pypi
multitasking              0.0.11                   pypi_0    pypi
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
mypy-extensions           1.0.0                    pypi_0    pypi
narwhals                  1.8.2              pyhd8ed1ab_0    conda-forge
nbclient                  0.10.0                   pypi_0    pypi
nbconvert                 7.16.4                   pypi_0    pypi
nbformat                  5.10.4                   pypi_0    pypi
nest-asyncio              1.6.0              pyhd8ed1ab_0    conda-forge
networkx                  3.3                      pypi_0    pypi
nltk                      3.9.1                    pypi_0    pypi
nodeenv                   1.9.1                    pypi_0    pypi
numpy                     1.26.4          py311h0b4df5a_0    conda-forge
oauthlib                  3.2.2                    pypi_0    pypi
onnxruntime               1.19.2                   pypi_0    pypi
openai                    1.47.1                   pypi_0    pypi
openjpeg                  2.5.2                h3d672ee_0    conda-forge
openssl                   3.3.2                h2466b09_0    conda-forge
opentelemetry-api         1.27.0                   pypi_0    pypi
opentelemetry-exporter-otlp-proto-common 1.27.0                   pypi_0    pypi
opentelemetry-exporter-otlp-proto-grpc 1.27.0                   pypi_0    pypi
opentelemetry-exporter-otlp-proto-http 1.27.0                   pypi_0    pypi
opentelemetry-instrumentation 0.48b0                   pypi_0    pypi
opentelemetry-instrumentation-asgi 0.48b0                   pypi_0    pypi
opentelemetry-instrumentation-fastapi 0.48b0                   pypi_0    pypi
opentelemetry-proto       1.27.0                   pypi_0    pypi
opentelemetry-sdk         1.27.0                   pypi_0    pypi
opentelemetry-semantic-conventions 0.48b0                   pypi_0    pypi
opentelemetry-util-http   0.48b0                   pypi_0    pypi
orc                       2.0.2                h784c2ca_0    conda-forge
orderly-set               5.2.2                    pypi_0    pypi
orjson                    3.10.7                   pypi_0    pypi
outcome                   1.3.0.post0              pypi_0    pypi
overrides                 7.7.0                    pypi_0    pypi
packaging                 23.2                     pypi_0    pypi
pandas                    2.2.2                    pypi_0    pypi
pandocfilters             1.5.1                    pypi_0    pypi
pango                     1.54.0               hbb871f6_2    conda-forge
parameterized             0.9.0                    pypi_0    pypi
parso                     0.8.4              pyhd8ed1ab_0    conda-forge
pcre2                     10.44                h3d7b363_2    conda-forge
pdfkit                    1.0.0                    pypi_0    pypi
peewee                    3.17.6                   pypi_0    pypi
pickleshare               0.7.5                   py_1003    conda-forge
pillow                    10.4.0          py311h5592be9_1    conda-forge
pip                       24.2               pyh8b19718_1    conda-forge
pipreqs                   0.5.0                    pypi_0    pypi
pixman                    0.43.4               h63175ca_0    conda-forge
pkgutil-resolve-name      1.3.10             pyhd8ed1ab_1    conda-forge
platformdirs              4.3.6              pyhd8ed1ab_0    conda-forge
plotly                    5.22.0                   pypi_0    pypi
pluggy                    1.5.0              pyhd8ed1ab_0    conda-forge
portalocker               2.10.1                   pypi_0    pypi
posthog                   3.6.6                    pypi_0    pypi
praw                      7.7.1                    pypi_0    pypi
prawcore                  2.4.0                    pypi_0    pypi
primp                     0.6.3                    pypi_0    pypi
prompt-toolkit            3.0.47             pyha770c72_0    conda-forge
proto-plus                1.24.0                   pypi_0    pypi
protobuf                  4.25.3          py311hffb1a97_1    conda-forge
psutil                    5.9.8                    pypi_0    pypi
pthread-stubs             0.4               hcd874cb_1001    conda-forge
